area,year,mean_temp_c
Klein Glienicke,2020,24.06520512820515
Stern,2020,27.90808168704922
Wilhelmshagen,2020,25.77637369791671
Hessenwinkel,2020,24.578359375000048
Grätzwalde,2020,27.248147044212658
Hohenberge,2020,25.898905228758224
Kleinschönebeck,2020,29.067040355477843
Fichtenau,2020,24.741434426229546
Schöneiche,2020,29.141913674951468
Zwiebusch,2020,23.0266666666667
Neu-Zittau,2020,25.02960454245118
Dahlwitz-Hoppegarten,2020,29.328151234886775
Schönwalde,2020,26.187018124079998
Schönerlinde,2020,28.801586688177792
Schönfließ,2020,27.57960029828496
Schildow,2020,27.37329030849037
Mühlenbeck,2020,27.460952614248868
Bergfelde,2020,26.617011328897775
Hohen Neuendorf,2020,27.984920513604436
Stolpe,2020,26.20437784840493
Schönwalde-Siedlung,2020,26.83439283297912
Schlachtensee,2020,25.60833528265107
Lichterfelde Süd,2020,29.474680498831844
Lichterfelde Ost,2020,29.711798116298098
Lichterfelde West,2020,29.493660061980336
Ahrensfelde,2020,30.406813924621986
,2020,31.93509622289247
,2020,32.80696969696976
,2020,
,2020,
Reinickendorf,2021,30.677550599302208
Frohnau,2021,25.743778371050723
Reinickendorf,2021,26.75971660386591
Spandau,2021,26.935230308862174
Charlottenburg-Nord,2021,28.874529250029298
Mitte,2021,30.559521619010866
Mitte,2021,30.102478333163674
Hansaviertel,2021,31.01858902387943
Wedding,2021,30.631430577798653
Moabit,2021,31.253530740845065
Gesundbrunnen,2021,31.45251068593285
Deutschland,2021,24.50188763784905
Steglitz-Zehlendorf,2021,25.80292722162909
Steglitz,2021,28.94523009830897
Lankwitz,2021,30.210885241976655
Lichterfelde,2021,28.657032215647632
Dahlem,2021,26.269135009045044
Wilmersdorf,2021,30.188959373959392
Halensee,2021,30.00135825545175
Grunewald,2021,24.18208198821179
Wittenau,2021,29.24395557278018
Märkisches Viertel,2021,29.421902838962296
Hermsdorf,2021,26.170122964499456
Tegel,2021,25.567997498783996
Heiligensee,2021,25.197079285733707
Tiergarten,2021,29.25627475680602
Schöneberg,2021,30.330297254065556
Friedenau,2021,29.96245112414465
Marienfelde,2021,30.483877357435176
Treptow-Köpenick,2021,26.174105654980906
Adlershof,2021,31.106755445719386
Rudow,2021,29.580891209667413
Johannisthal,2021,30.200732132450923
Niederschöneweide,2021,30.10354789872099
Baumschulenweg,2021,30.166183561808737
Plänterwald,2021,27.671273184949655
Alt-Treptow,2021,29.139179513532042
Friedrichshain,2021,30.25745611159681
Friedrichshain-Kreuzberg,2021,30.40360753505837
Kreuzberg,2021,30.54396849241192
Großbeeren,2021,28.027264704150127
Blankenfelde-Mahlow,2021,27.45258831068884
Schönefeld,2021,28.798009208949736
Eichwalde,2021,26.995768779801494
Schulzendorf,2021,27.841753503887958
Zeuthen,2021,26.547380285747295
Königs Wusterhausen,2021,25.66836364623117
Gosen-Neu Zittau,2021,24.430030001816817
Spreenhagen,2021,25.54133187840614
Erkner,2021,25.161323290291648
Konradshöhe,2021,23.982731582786357
Potsdam-Mittelmark,2021,25.696972328227446
Teltow-Fläming,2021,26.531620725558525
Potsdam,2021,25.09435086933229
Dahme-Spreewald,2021,26.293208234016845
Havelland,2021,26.229833916511666
Berlin,2021,27.779803959580363
Oberhavel,2021,24.926937557861606
Brandenburg,2021,25.863146588544964
Barnim,2021,24.61849425571768
Oder-Spree,2021,26.10982238965238
Waidmannslust,2021,27.249174503657287
Charlottenburg,2021,30.9504457691296
Grünau,2021,26.448527813682006
Waltersdorf,2021,29.165576168629684
Schmöckwitz,2021,24.010201075584973
Gosen,2021,23.212267343485735
Wernsdorf,2021,24.36728513157152
Lichtenrade,2021,30.064013240448332
Tempelhof-Schöneberg,2021,30.38174935569151
Buckow,2021,31.010860723051792
Tempelhof,2021,30.39657575757576
Mariendorf,2021,30.737186808994352
Britz,2021,29.878545565846025
Neukölln,2021,30.139651619477604
Altglienicke,2021,29.756372996015216
Marzahn-Hellersdorf,2021,29.132033395343512
Mahlsdorf,2021,29.14735131350477
Pankow,2021,28.502720128628766
Zehlendorf,2021,26.625799849632756
Schmargendorf,2021,27.9597376299713
Westend,2021,27.90478189153913
Wilhelmstadt,2021,27.671153056569494
Waßmannsdorf,2021,28.002309233489825
Märkisch-Oderland,2021,26.882850297694972
Charlottenburg-Wilmersdorf,2021,27.50992782357571
Lichtenberg,2021,29.554664731987543
Französisch Buchholz,2021,28.72693681764133
Stadtrandsiedlung Malchow,2021,28.809514579759934
Marzahn,2021,29.551426429927744
Hellersdorf,2021,28.620412618977582
Kaulsdorf,2021,28.895910087992547
Karow,2021,28.663404660321703
Wilhelmsruh,2021,30.097737499327195
Rosenthal,2021,28.48112841240396
Niederschönhausen,2021,29.43294579347571
Pankow,2021,30.2317153748412
Prenzlauer Berg,2021,30.845297195274554
Haselhorst,2021,29.30215379515539
Fennpfuhl,2021,30.132176969697014
Malchow,2021,28.468007865277002
Blankenfelde,2021,26.56961984957485
Buch,2021,25.765616761388458
Blankenburg,2021,29.049123517397106
Weißensee,2021,30.567301443132635
Spandau,2021,29.604947629789024
Hakenfelde,2021,25.284933415501314
Heinersdorf,2021,30.22919706380577
Alt-Hohenschönhausen,2021,30.267803165480927
Rummelsburg,2021,29.609778567523335
Wartenberg,2021,27.854001246478106
Lichtenberg,2021,30.994994210883647
Karlshorst,2021,29.16846808771288
Biesdorf,2021,28.956103183219057
Köpenick,2021,26.092661684233235
Friedrichshagen,2021,24.90584799942178
Rahnsdorf,2021,23.450782655649675
Falkenhagener Feld,2021,28.715420086095378
Neukölln,2021,30.454866626835326
Gropiusstadt,2021,30.387462403838185
Kladow,2021,24.431305444515033
Gatow,2021,25.265551729597178
Wannsee,2021,23.064102678298127
Nikolassee,2021,22.99424048686177
Lübars,2021,27.301003497619945
Müggelheim,2021,23.245915538015083
Bohnsdorf,2021,29.97342090886781
Staaken,2021,28.61709176842055
Siemensstadt,2021,29.853804158334697
Falkenberg,2021,29.176527244273814
Friedrichsfelde,2021,29.78255886043712
Neu-Hohenschönhausen,2021,29.004443743958348
Oberschöneweide,2021,29.14791163475695
Stahnsdorf,2021,27.003207962404645
Kleinmachnow,2021,24.973994456986702
Teltow,2021,28.00546142638916
Stahnsdorf,2021,25.938713637932665
Seeburg,2021,26.755775266719297
Dallgow-Döberitz,2021,26.01755008308453
Falkensee,2021,27.028949189671607
Schönwalde-Glien,2021,25.830205618671243
Hennigsdorf,2021,25.442387939621483
Hohen Neuendorf,2021,25.682262426060447
Mühlenbecker Land,2021,25.34977420153001
Glienicke/Nordbahn,2021,26.377756335735853
Panketal,2021,27.06800647431254
Ahrensfelde,2021,27.892553587004272
Hoppegarten,2021,28.22277181133495
Neuenhagen bei Berlin,2021,28.491753265237605
Wandlitz,2021,24.368535447814736
Woltersdorf,2021,25.137580976782488
Schöneiche bei Berlin,2021,27.381008036928392
Lindenberg,2021,28.291034412032843
Eiche,2021,28.363613263020397
Hönow,2021,28.278465453248884
Großziethen,2021,28.474117027797774
Schönefeld,2021,30.688285399276992
Borsigwalde,2021,29.78214930299515
Heinersdorf,2021,28.629620605540822
Groß Glienicke,2021,24.44061608604153
Sacrow,2021,22.211176446281
Mahlow,2021,28.46683785968321
Schwanebeck,2021,27.81529650607456
Zepernick,2021,26.31600619872995
Babelsberg Nord,2021,26.399326124431866
Babelsberg Süd,2021,28.38807902522194
Berliner Vorstadt,2021,25.52765098537833
Klein Glienicke,2021,23.464666666666687
Stern,2021,27.472301376892176
Wilhelmshagen,2021,24.87101562500004
Hessenwinkel,2021,23.645507812500057
Grätzwalde,2021,26.55952309985105
Hohenberge,2021,25.416486928104575
Kleinschönebeck,2021,28.339364801864804
Fichtenau,2021,24.02595628415304
Schöneiche,2021,27.27162449905626
Zwiebusch,2021,23.313333333333333
Neu-Zittau,2021,24.603050426776292
Dahlwitz-Hoppegarten,2021,28.52024503513138
Schönwalde,2021,24.341985114968907
Schönerlinde,2021,25.753547255468447
Schönfließ,2021,25.79473757711355
Schildow,2021,26.39108037128034
Mühlenbeck,2021,25.744113563255098
Bergfelde,2021,25.201971767667942
Hohen Neuendorf,2021,26.681240654790088
Stolpe,2021,25.25147296180819
Schönwalde-Siedlung,2021,25.4707569389721
Schlachtensee,2021,24.499496101364514
Lichterfelde Süd,2021,28.778065480092096
Lichterfelde Ost,2021,28.95377010647013
Lichterfelde West,2021,28.504759090208154
Ahrensfelde,2021,28.702319761596925
,2021,30.92964706304764
,2021,31.516717171717175
,2021,
,2021,
Reinickendorf,2022,32.774818816292225
Frohnau,2022,27.039316245227724
Reinickendorf,2022,28.856574159229183
Spandau,2022,29.315195556249193
Charlottenburg-Nord,2022,31.127201123201132
Mitte,2022,32.46206740761619
Mitte,2022,32.557350911127
Hansaviertel,2022,32.22533794162831
Wedding,2022,32.466381205840776
Moabit,2022,32.72890050661414
Gesundbrunnen,2022,33.304617533159046
Deutschland,2022,27.914676500454675
Steglitz-Zehlendorf,2022,27.706441395056288
Steglitz,2022,31.741042159810718
Lankwitz,2022,32.323741659119605
Lichterfelde,2022,31.093164106548727
Dahlem,2022,29.02275947132
Wilmersdorf,2022,32.23086403495495
Halensee,2022,32.35511781365062
Grunewald,2022,26.523539248292423
Wittenau,2022,31.466014468681976
Märkisches Viertel,2022,32.1284610866374
Hermsdorf,2022,27.526063026011457
Tegel,2022,27.820516623831736
Heiligensee,2022,27.12591205914896
Tiergarten,2022,30.90651886066223
Schöneberg,2022,32.68723017451748
Friedenau,2022,32.220047765040476
Marienfelde,2022,33.012146344776966
Treptow-Köpenick,2022,28.181278390006412
Adlershof,2022,32.84449720506041
Rudow,2022,32.90115421420688
Johannisthal,2022,32.63739193098576
Niederschöneweide,2022,32.039441992359
Baumschulenweg,2022,32.475930735930945
Plänterwald,2022,30.807655007949222
Alt-Treptow,2022,31.38586751378125
Friedrichshain,2022,32.428184695512925
Friedrichshain-Kreuzberg,2022,32.43536672093222
Kreuzberg,2022,32.44226894552179
Großbeeren,2022,32.189482984696895
Blankenfelde-Mahlow,2022,30.71316558229421
Schönefeld,2022,32.55423186740239
Eichwalde,2022,27.83256950415597
Schulzendorf,2022,30.66924454417466
Zeuthen,2022,29.106504407189846
Königs Wusterhausen,2022,28.02303419319196
Gosen-Neu Zittau,2022,26.7929433575261
Spreenhagen,2022,27.532127238301484
Erkner,2022,27.455976087996078
Konradshöhe,2022,26.701027783303573
Potsdam-Mittelmark,2022,28.38924305476064
Teltow-Fläming,2022,29.270203266938665
Potsdam,2022,27.504766050062415
Dahme-Spreewald,2022,28.603906843647962
Havelland,2022,28.677406467058518
Berlin,2022,30.10518822428969
Oberhavel,2022,27.588000700091357
Brandenburg,2022,28.65391542600935
Barnim,2022,27.553708815346113
Oder-Spree,2022,28.532317751375672
Waidmannslust,2022,29.187625391849565
Charlottenburg,2022,32.49518295068469
Grünau,2022,28.05889946064127
Waltersdorf,2022,32.844875569118074
Schmöckwitz,2022,25.52244456944635
Gosen,2022,25.15528553299498
Wernsdorf,2022,26.48822340064902
Lichtenrade,2022,32.5899853605066
Tempelhof-Schöneberg,2022,32.94953228109944
Buckow,2022,32.52161723212441
Tempelhof,2022,33.0536425244664
Mariendorf,2022,33.56528917126042
Britz,2022,32.523525824649084
Neukölln,2022,32.86376550128989
Altglienicke,2022,32.76316068946346
Marzahn-Hellersdorf,2022,32.114973507853506
Mahlsdorf,2022,32.10392774323651
Pankow,2022,31.349602409723104
Zehlendorf,2022,28.36974219238897
Schmargendorf,2022,30.2165783671158
Westend,2022,30.037356225120618
Wilhelmstadt,2022,30.126266312762766
Waßmannsdorf,2022,31.636105648603348
Märkisch-Oderland,2022,30.10215921425055
Charlottenburg-Wilmersdorf,2022,29.63126214321312
Lichtenberg,2022,32.30879867796915
Französisch Buchholz,2022,31.861874349920015
Stadtrandsiedlung Malchow,2022,31.695318086525674
Marzahn,2022,32.5463644691697
Hellersdorf,2022,32.010360210881345
Kaulsdorf,2022,31.71250118403674
Karow,2022,31.486124658133747
Wilhelmsruh,2022,32.458490876796475
Rosenthal,2022,32.10144403215833
Niederschönhausen,2022,32.11000405824251
Pankow,2022,32.18027353586706
Prenzlauer Berg,2022,32.6379433969646
Haselhorst,2022,31.571480547200906
Fennpfuhl,2022,32.633746666666696
Malchow,2022,31.583282908704916
Blankenfelde,2022,29.92964790712881
Buch,2022,29.43884590873421
Blankenburg,2022,31.833604292829875
Weißensee,2022,32.39737447132552
Spandau,2022,32.468009494832984
Hakenfelde,2022,27.894662898267256
Heinersdorf,2022,32.47972181441759
Alt-Hohenschönhausen,2022,33.003300967874
Rummelsburg,2022,31.689096956442597
Wartenberg,2022,31.566443924205885
Lichtenberg,2022,32.991045185052144
Karlshorst,2022,31.829185459891107
Biesdorf,2022,31.7980161203717
Köpenick,2022,27.818070312532484
Friedrichshagen,2022,27.038564685712004
Rahnsdorf,2022,25.674949127043078
Falkenhagener Feld,2022,30.893469103208417
Neukölln,2022,33.46675504272554
Gropiusstadt,2022,32.45215402431967
Kladow,2022,25.92223066294963
Gatow,2022,27.558706432647625
Wannsee,2022,24.655832124272933
Nikolassee,2022,24.260898365410128
Lübars,2022,30.161595625798384
Müggelheim,2022,25.260996983733605
Bohnsdorf,2022,31.721391341672813
Staaken,2022,31.650274425947828
Siemensstadt,2022,32.103421781264444
Falkenberg,2022,32.51206726893355
Friedrichsfelde,2022,31.97451557394362
Neu-Hohenschönhausen,2022,32.55086832261594
Oberschöneweide,2022,31.474082340340146
Stahnsdorf,2022,30.201289496183563
Kleinmachnow,2022,27.1846447454559
Teltow,2022,32.09501245634209
Stahnsdorf,2022,28.547453326848142
Seeburg,2022,29.63137829237695
Dallgow-Döberitz,2022,29.135054482650105
Falkensee,2022,29.3196949881858
Schönwalde-Glien,2022,28.775379051997902
Hennigsdorf,2022,27.89482346644752
Hohen Neuendorf,2022,27.491805107088226
Mühlenbecker Land,2022,27.886458475432505
Glienicke/Nordbahn,2022,28.109122793148856
Panketal,2022,31.055229973856513
Ahrensfelde,2022,31.78870798500475
Hoppegarten,2022,32.14643124345349
Neuenhagen bei Berlin,2022,32.396534763272655
Wandlitz,2022,27.70128924458743
Woltersdorf,2022,27.32023083127723
Schöneiche bei Berlin,2022,30.939785133414716
Lindenberg,2022,32.09521121654103
Eiche,2022,32.05357849542668
Hönow,2022,32.30767127506107
Großziethen,2022,32.067873235432614
