area,mean_temp_c,green_area,priority_score
Reinickendorf,28.74775768714297,0.08845258668752076,0.06917932616505577
Frohnau,25.605499417178475,0.29366716126978953,0.47132657773172354
Reinickendorf,28.74775768714297,0.3025086554436836,0.05293414310400099
Spandau,28.6564504592307,0.2681570643953471,0.024045916779994146
Charlottenburg-Nord,29.240855582075653,0.21554138444330193,0.24185041870042914
Mitte,30.361061853852743,0.20185328077114345,0.6674783829755238
Mitte,26.307147479734866,0.20185328077114345,0.47132657773172354
Mitte,30.361061853852743,0.11142455724048493,0.7431025967981426
Mitte,26.307147479734866,0.11142455724048493,0.47132657773172354
Hansaviertel,30.531693366848263,0.15721707390976525,0.7725862595006093
Wedding,30.25777441513581,0.2576729016684862,0.5846592003791998
Moabit,30.764825840447884,0.08605710019759845,0.9382446562286832
Gesundbrunnen,30.98316607125572,0.11465216395685177,1.0
Steglitz-Zehlendorf,25.956711021464912,0.33045961595916423,0.47132657773172354
Steglitz,29.336802817051648,0.09489636027251283,0.3199765936834184
Lankwitz,29.887199700196824,0.08468905717614063,0.5610320539262247
Lichterfelde,28.88561192198123,0.08209784460806543,0.1293017108680613
Dahlem,26.68902732552609,0.3174678872857609,0.47132657773172354
Wilmersdorf,29.513782961468973,0.09293860044769453,0.39633164136338644
Wilmersdorf,30.355292640692664,0.09293860044769453,0.7560956646682984
Wilmersdorf,25.233392033592715,0.09293860044769453,0.47132657773172354
Halensee,27.312232109873275,0.054208515549250096,0.47132657773172354
Halensee,30.073836896063472,0.054208515549250096,0.6629133490339765
Grunewald,24.43408871268208,0.6981792754910765,0.47132657773172354
Wittenau,29.43511796158914,0.12028695065584084,0.35176500886832196
Märkisches Viertel,29.547681391002595,0.05465778707678133,0.4281620205140664
Hermsdorf,26.15418914240752,0.13847806805148086,0.47132657773172354
Tegel,25.84671154993612,0.5362592044492401,0.47132657773172354
Heiligensee,25.345176731698167,0.23770182817511493,0.47132657773172354
Tiergarten,29.208310868500337,0.566579512439845,0.12697622749189713
Schöneberg,30.651591972055293,0.1497183878334816,0.8275109723289023
Friedenau,30.21941424509024,0.03201530168137619,0.744886523282039
Marienfelde,30.28315943773182,0.1429523924534803,0.6852677034056244
Treptow-Köpenick,26.325589223308384,0.4469779593646513,0.47132657773172354
Adlershof,30.635930789055635,0.14691349899188022,0.8239436607993847
Rudow,30.079428521653767,0.13294813304563366,0.6100091763604567
Johannisthal,30.14362325382958,0.34485807284263426,0.48074362235614937
Niederschöneweide,29.90273279229258,0.057561590454945466,0.5845593453975608
Baumschulenweg,30.09662215708686,0.1070730444017334,0.6354495578024678
Plänterwald,28.518734846076065,0.3261414373345614,0.47132657773172354
Alt-Treptow,29.387468607970774,0.5887975006345609,0.15518985682512015
Friedrichshain,30.584260514277457,0.1422902584041296,0.8075206663973495
Friedrichshain-Kreuzberg,30.47279910033418,0.15159873500516108,0.7541863487041748
Kreuzberg,30.365584349153643,0.16047096560887536,0.7038753223529329
Konradshöhe,24.630843379086308,0.020168550940355346,0.47132657773172354
Waidmannslust,27.45490059430515,0.12906778175000974,0.47132657773172354
Charlottenburg,30.854388672683815,0.11862564129521184,0.9420158753989688
Grünau,26.266860079467826,0.6247856001527518,0.47132657773172354
Schmöckwitz,24.029741366129315,0.5446287049776007,0.47132657773172354
Lichtenrade,29.81163112370739,0.061986832958257354,0.5415375252368294
Tempelhof-Schöneberg,30.473260780612303,0.14154091909342226,0.7633140472549161
Buckow,30.368774636600666,0.0330727744096033,0.8121420544675986
